TV ONE,AB Shop,2023.11.07 00:00:00,2023.11.07 00:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.07 00:30:00,2023.11.07 00:59:59,News,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.07 01:00:00,2023.11.07 01:29:59,News,FUSENRmfd0
TV ONE,Kabar Petang,2023.11.07 01:30:00,2023.11.07 02:59:59,News,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.07 03:00:00,2023.11.07 03:29:59,News,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.07 03:30:00,2023.11.07 03:59:59,News,FUSENRmfd0
TV ONE,Kabar Arena Pagi 2,2023.11.07 04:00:00,2023.11.07 04:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Pagi,2023.11.07 04:30:00,2023.11.07 05:59:59,News,FUSENRmfd0
TV ONE,Kabar Arena Pagi 2,2023.11.07 06:00:00,2023.11.07 06:29:59,General Entertainment,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Pagi,2023.11.07 06:30:00,2023.11.07 08:29:59,News,FUSENRmfd0
TV ONE,Kabar Utama Pagi,2023.11.07 08:30:00,2023.11.07 09:29:59,News,FUSENRmfd0
TV ONE,Hidup Sehat,2023.11.07 09:30:00,2023.11.07 09:59:59,General Entertainment,FUSENRmfd0
TV ONE,Inspirasi Pagi,2023.11.07 10:00:00,2023.11.07 10:29:59,General Entertainment,FUSENRmfd0
TV ONE,Ragam Perkara Siang,2023.11.07 10:30:00,2023.11.07 10:59:59,News,FUSENRmfd0
TV ONE,Kabar Siang,2023.11.07 11:00:00,2023.11.07 12:59:59,News,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Siang,2023.11.07 13:00:00,2023.11.07 14:29:59,News,FUSENRmfd0
TV ONE,Kabar Pem1lu,2023.11.07 14:30:00,2023.11.07 15:29:59,General Entertainment,FUSENRmfd0
TV ONE,Ragam Perkara,2023.11.07 15:30:00,2023.11.07 15:59:59,News,FUSENRmfd0
TV ONE,Kabar Petang,2023.11.07 16:00:00,2023.11.07 17:59:59,News,FUSENRmfd0
